Abbr,Id,Name,Use,Address_1,Address_2,Type,Latitude,Longitude
Alumnae,100076,Alumnae Hall,Academic,194 Meeting St,"Providence, Ri 02912",Building,41.829641,-71.402102
Andrewhall,100103,Andrews Hall,Dormitory,211 Bowen St,"Providence, Ri 02912",Building,41.830569,-71.402512
Andrewshse,100200,Andrews House,Support,13 Brown St,"Providence, Ri 02912",House,41.823933,-71.402316
Andrewsmem,100135,Andrews Memorial Building,Support,295 Lloyd Ave,"Providence, Ri 02912",Building,41.832953,-71.395557
Angell164,100144,Angell St 164,Academic,164 Angell St,"Providence, Ri 02912",Building,41.828286,-71.400983
Angell195,100186,Angell St 195,Academic,195 Angell St,"Providence, Ri 02912",Building,41.827944,-71.399876
Annmary,100230,Annmary Brown Memorial Library,Library,21 Brown St,"Providence, Ri 02912",Building,41.824265,-71.402322
Kqarchbron,100258,Archibald-Bronson: Keeney Quad,Dormitory,17 Benevolent St,"Providence, Ri 02912",Building,41.824319,-71.402866
Arnoldlab,100278,Arnold Lab,Academic,91 Waterman St,"Providence, Ri 02912",Building,41.826925,-71.401131
Barbour,100129,Barbour Hall,Dormitory,100 Charlesfield St,"Providence, Ri 02912",Building,41.823857,-71.398025
Bh,100077,Barus & Holley,Academic,184 Hope St,"Providence, Ri 02912",Building,41.826505,-71.397826
Barusbuild,100171,Barus Building,Academic,340 Brook St,"Providence, Ri 02912",Building,41.82626,-71.399382
Bene020,100090,Benevolent St 020,Admin,20 Benevolent St,"Providence, Ri 02912",House,41.824721,-71.40329
Bene022,100116,Benevolent St 022,Support,22 Benevolent St,"Providence, Ri 02912",House,41.824703,-71.403116
Bene026,100142,Benevolent St 026,StudentLife,26 Benevolent St,"Providence, Ri 02912",House,41.824717,-71.402861
Biomedacf,100002,Bio-Med Acf,Academic,173 Meeting St,"Providence, Ri 02912",Building,41.82857,-71.402375
Biomedctr,100091,Bio-Med Ctr,Academic,171 Meeting St,"Providence, Ri 02912",Building,41.828596,-71.402909
Biomedgg,100117,Bio-Med Grimshaw-Gudewicz,Academic,175 Meeting St,"Providence, Ri 02912",Building,41.828668,-71.402086
Blistein,100143,Blistein House,Academic,57 Waterman St,"Providence, Ri 02912",House,41.826699,-71.405149
Bowen219,100188,Bowen St 219,Dormitory,219 Bowen St,"Providence, Ri 02912",House,41.830597,-71.401745
Brown068h,100140,Brown St 068.5,Academic,68.5 Brown St,"Providence, Ri 02912",Building,41.827355,-71.403309
Brown070,100162,Brown St 070,Academic,70 Brown St,"Providence, Ri 02912",Building,41.827553,-71.403397
Brown111,100261,Brown St 111,Dormitory,111 Brown St,"Providence, Ri 02912",House,41.829913,-71.40332
Brownstad,100067,Brown Stadium,Athletics,112 Sessions St,"Providence, Ri 02912",Building,41.842117,-71.394342
Buxton,100174,Buxton House: Wriston Quad,Dormitory,27 Brown St,"Providence, Ri 02912",Building,41.824523,-71.402335
Carrie,100271,Carrie Tower,Support,69 Waterman St,"Providence, Ri 02912",Building,41.826769,-71.404486
Caswell,100004,Caswell Hall,Dormitory,168 Thayer St,"Providence, Ri 02912",Building,41.826106,-71.400624
Cntrlheat,100093,Central Heat Plant,Support,235 Lloyd Ave,"Providence, Ri 02912",Building,41.831968,-71.397357
Champlin,100119,Champlin: Pembroke Quad,Dormitory,208 Meeting St,"Providence, Ri 02912",Building,41.830241,-71.40178
Chapin,100163,Chapin House: Wriston Quad,Dormitory,116 Thayer St,"Providence, Ri 02912",Building,41.824461,-71.400399
Char038,100217,Charlesfield St 038,Support,38 Charlesfield St,"Providence, Ri 02912",House,41.823577,-71.401407
Char059,100248,Charlesfield St 059,Academic,59 Charlesfield St,"Providence, Ri 02912",House,41.824145,-71.399387
Char075,100043,Charlesfield St 075,Support,75 Charlesfield St,"Providence, Ri 02912",Building,41.824223,-71.398156
Churchill,100081,Churchill House,Academic,155 Angell St,"Providence, Ri 02912",Building,41.827759,-71.401544
Cooke037,100204,Cooke St 037,Support,37 Cooke St,"Providence, Ri 02912",House,41.825958,-71.395656
Corliss-B,100272,Corliss-Brackett,Academic,45 Prospect St,"Providence, Ri 02912",House,41.827561,-71.404438
Diman,100164,Diman House: Wriston Quad,Dormitory,41 Charlesfield St,"Providence, Ri 02912",Building,41.824391,-71.401557
Dyerhse,100190,Dyer House,Admin,150 Power St,"Providence, Ri 02912",House,41.823407,-71.396472
Dyer200,100313,Dyer St 200,Admin,200 Dyer St,"Providence, Ri 02903",Building,41.82137,-71.40785
Eddyst339,100184,Eddy St 339,Academic,339 Eddy St,"Providence, Ri 02912",Building,41.81848,-71.408298
Elm043,100311,Elm St 043,Support,43 Elm St,"Providence, Ri 02903",Building,41.8179,-71.40787
Emery,100235,Emery: Pembroke Quad,Dormitory,200 Meeting St,"Providence, Ri 02912",Building,41.829379,-71.401788
Engresctr,100331,Engineering Research Center,Academic,345 Brook St,"Providence, Ri 02912",Building,41.826368,-71.398401
Kqevrtplnd,100263,Everett-Poland: Keeney Quad,Dormitory,13 Benevolent St,"Providence, Ri 02912",Building,41.823905,-71.403346
Facultclub,100282,Faculty Club,Dining,1 Bannister St,"Providence, Ri 02912",House,41.824779,-71.403711
Fauncehse,100044,Faunce House,StudentLife,75 Waterman St,"Providence, Ri 02912",Building,41.826829,-71.40296
Feinstein,100069,Feinstein,Academic,130 Hope St,"Providence, Ri 02912",House,41.823739,-71.397338
Fieringhse,100068,Fiering House,Support,79 Charlesfield St,"Providence, Ri 02912",House,41.824281,-71.397834
Fones008,100132,Fones Alley 008,Academic,8 Fones Alley,"Providence, Ri 02912",Building,41.827451,-71.404194
Friedman,100013,Friedman Hall,Academic,90 George St,"Providence, Ri 02912",Building,41.82589,-71.402496
Gardner,100175,Gardner House,Support,106 George St,"Providence, Ri 02912",House,41.825526,-71.401804
Geo-Chem,100056,Geo-Chem Bldg,Academic,156 George St,"Providence, Ri 02912",Building,41.825834,-71.399516
George025,100006,George St 025,Admin,25 George St,"Providence, Ri 02912",House,41.82509,-71.405275
George067,100095,George St 067,Academic,67 George St,"Providence, Ri 02912",House,41.825106,-71.403553
George155,100146,George St 155,Academic,155 George St,"Providence, Ri 02912",House,41.825378,-71.399674
George180,100236,George St 180,Academic,180 George St,"Providence, Ri 02912",Building,41.825888,-71.398779
George182,100249,George St 182,Academic,182 George St,"Providence, Ri 02912",House,41.825902,-71.398304
Gerardhse,100019,"Gerard House, Samuel N.",Academic,54 College St,"Providence, Ri 02912",House,41.826242,-71.405886
Giddings,100070,Giddings House,Academic,128 Hope St,"Providence, Ri 02912",House,41.823577,-71.397362
Goddard,100157,Goddard House: Wriston Quad,Dormitory,39 Charlesfield St,"Providence, Ri 02912",Building,41.824127,-71.401294
Gradctra,100082,Graduate Ctr A,Dormitory,40 Charlesfield St,"Providence, Ri 02912",Building,41.823066,-71.400954
